id,basename,name,year,platform,genres,critic_score,user_score
8090,final-fantasy-ix,Final Fantasy IX,2000,"iOS,PS4,NS,PS,XOne,PSN,And,PC","Role-Playing",9.2,
32345,borderlands-2,Borderlands 2,2012,"X360,PS3,PC,PSV","Shooter",,
18889,final-fantasy-xiii,Final Fantasy XIII,2010,"PC,PS3,X360","Role-Playing",8.1,9.2
32742,kerbal-space-program,Kerbal Space Program,2015,"Linux,OSX,PC","Misc",,
1964,call-of-duty-4-modern-warfare,Call of Duty 4: Modern Warfare,2007,"X360,PSN,XBL,PS3,PC,DS","Shooter",9.6,9.6
506342,hitman-2,HITMAN 2,2018,"PC,XOne,PS4","Action-Adventure",,
497388,a-way-out,A Way Out,2018,"XOne,PS4,PC","Action",8.1,
1420,half-life-2,Half-Life 2,2004,"OSX,XB,PC","Shooter,Misc",9.7,
20050,perfect-world,Perfect World,1995,"3DO,PC","Action,Role-Playing",,
19009,dead-space,Dead Space,2008,"PSN,XBL,PC,PS3,X360","Shooter,Action",9,
18181,final-fantasy-tactics,Final Fantasy Tactics,1998,"PS,PSN,And,PSP","Misc,Role-Playing",8.8,
461427,wwe-supercard,WWE SuperCard,2014,"And","Strategy",,
505371,marvels-spider-man,Marvel's Spider-Man,2018,"PS4","Action-Adventure",9.1,
15943,the-elder-scrolls-iii-morrowind,The Elder Scrolls III: Morrowind,2002,"PC,XB","Role-Playing",8.7,
14890,zelda-ii-the-adventure-of-link,Zelda II: The Adventure of Link,1988,"NES,VC","Adventure",,
1563904577,forest,Forest,1983,"2600","Action",,
494536,dauntless,Dauntless,2018,"NS,XOne,PS4,PC","Role-Playing",,
14286,sly-2-band-of-thieves,Sly 2: Band of Thieves,2004,"PSN,PS2","Platform",,
458650,gran-turismo-sport,Gran Turismo Sport,2017,"PS4","Racing",,
510587,among-trees,Among Trees,2019,"PC","Adventure",,
5288,ultima-online,Ultima Online,1997,"PC","Role-Playing",9,
10260,rollercoaster-tycoon-2,RollerCoaster Tycoon 2,2002,"PC","Strategy",7.3,
26175,planetside-2,PlanetSide 2,2012,"PS4,PC","Shooter",,
17828,the-legend-of-zelda-twilight-princess,The Legend of Zelda: Twilight Princess,2006,"Wii,GC","Adventure",9.5,9.6
498000,house-flipper,House Flipper,1995,"PC","Simulation",,
16582,metal-gear-solid-3-snake-eater,Metal Gear Solid 3: Snake Eater,2004,"PS2,X360,PS3","Misc,Action",9,
369579,tom-clancys-the-division,Tom Clancy's The Division,2016,"PS4,PC,XOne","Shooter",,
18888,warhammer-online-age-of-reckoning,Warhammer Online: Age of Reckoning,2008,"PC","Role-Playing",,
19180,final-fantasy-xv,Final Fantasy XV,2016,"XOne,PS4","Role-Playing",8.1,
490177,blood-bowl-2,Blood Bowl 2,2015,"XOne,PC,PS4","Sports",,
1260,age-of-mythology,Age of Mythology,2002,"PC","Strategy",8.8,
459839,assassins-creed-unity,Assassin's Creed: Unity,2014,"PS4,PC,XOne","Action",,
30740,the-walking-dead-season-one,The Walking Dead: Season One,2014,"XOne","Adventure",,
16607,sonic-amp-knuckles,Sonic & Knuckles,1994,"GEN,XBL,PC,VC","Platform",9,
500633,world-war-z,World War Z,2019,"XOne,PS4,PC","Shooter",,
461389,life-is-strange,Life is Strange,2015,"XOne,PS4,PC,PS3,X360,iOS","Adventure",,
495072,sd-gundam-g-generation-genesis,SD Gundam G Generation Genesis,2016,"NS,PSV,PS4","Strategy",,
23894,call-of-duty-black-ops,Call of Duty: Black Ops,2010,"DS,PSN,Wii,XBL,PC,PS3,X360","Shooter",8.8,
6490,star-wars-battlefront-ii,Star Wars: Battlefront II,2009,"PSN","Shooter",,
6086,super-mario-sunshine,Super Mario Sunshine,2002,"GC","Platform",9.2,
461410,hellblade-senuas-sacrifice,Hellblade: Senua's Sacrifice,2017,"PC,PS4,NS,XOne","Action-Adventure",8.3,
113749,prime-world,Prime World,2020,"And,PC","Misc",,
493618,hello-neighbor,Hello Neighbor,2017,"NS,XOne,PS4,PC","Action",,
34134,call-of-duty-black-ops-ii,Call of Duty: Black Ops II,2012,"PC,WiiU,X360,PS3","Shooter",8.6,
67834,metal-gear-solid-v-ground-zeroes,Metal Gear Solid V: Ground Zeroes,2014,"PC,PS3,XOne,X360,PS4","Action-Adventure",8.5,
20423,blade-amp-soul,Blade & Soul,2015,"PC","Role-Playing,Misc",,
5682,crash-team-racing,Crash Team Racing,1999,"PSN,PS","Racing",9.2,
24438,mu-online,MU Online,2003,"PC","Role-Playing",,
14198,metroid-prime,Metroid Prime,2002,"GC","Shooter",9.6,9.5
33882,ftl-faster-than-light,FTL: Faster Than Light,2012,"PC,OSX,Linux","Misc",8.6,
2732,cold-war,Cold War,2005,"XB,PC","Shooter",,
6756,crash-bandicoot,Crash Bandicoot,1996,"PSN,PS","Platform",7.8,
29179,neverwinter,Neverwinter,2013,"XOne,PC","Role-Playing",,
9402,resident-evil-zero,Resident Evil Zero,2002,"GC,XOne,NS,X360,PS3,PC,PS4","Action,Action-Adventure",8.2,
489648,growtopia,Growtopia,2013,"And","Misc",,
737,guilty-gear-xx-accent-core,Guilty Gear XX Accent Core,2007,"PS2,Wii","Fighting",,
458641,uncharted-4-a-thiefs-end,Uncharted 4: A Thief's End,2016,"PS4","Action",9.2,
89297,danganronpa-2-goodbye-despair,Danganronpa 2: Goodbye Despair,2012,"PSV,PSP,PC","Adventure",,
490771,battle-brothers,Battle Brothers,2018,"PC","Role-Playing",,
68000,the-evil-within,The Evil Within,2014,"X360,XOne,PS4,PS3,PC","Misc,Action",7.9,
494162,nier-automata,NieR: Automata,2017,"PC,XOne,PS4","Role-Playing",,
505015,baba-is-you,Baba is You,,"NS","Adventure",,
506458,overcooked-2,Overcooked! 2,2018,"NS,XOne,PS4","Simulation",8.4,
488851,jojos-bizarre-adventure-eyes-of-heaven,JoJo's Bizarre Adventure: Eyes of Heaven,2015,"PS3,PS4","Fighting",,
496503,naruto-to-boruto-shinobi-striker,Naruto to Boruto: Shinobi Striker,2018,"XOne,PS4,PC","Action",8.5,
417749,tabletop-simulator,Tabletop Simulator,2015,"PC","Simulation",,
489642,bloodstained-ritual-of-the-night,Bloodstained: Ritual of the Night,2019,"PC,NS,XOne,PS4","Action-Adventure",,
497456,days-gone,Days Gone,2019,"PS4","Action-Adventure",,
29440,phantasy-star-online-2,Phantasy Star Online 2,2001,"PSV,PC","Misc,Role-Playing",,
2770,tomb-raider,Tomb Raider,1996,"PS,PSN,NGage,PC,SAT","Adventure,Action",8.9,
16937,artifact,Artifact,2018,"Linux,OSX,And,iOS,PC","Misc",,
497883,my-time-at-portia,My Time at Portia,,"NS,XOne,PC,PS4","Simulation",,
19023,final-fantasy-iv,Final Fantasy IV,,"GBA,TG16,WS,PC,PS,Wii,PSP,DS","Misc,Role-Playing",8.5,9
14980,sly-3-honor-among-thieves,Sly 3: Honor Among Thieves,2005,"PSN,PS2","Platform",,
490279,tales-of-berseria,Tales of Berseria,2016,"PS3,PS4,PC","Role-Playing",,
6737,super-mario-rpg-legend-of-the-seven-stars,Super Mario RPG: Legend of the Seven Stars,1996,"SNES,VC","Role-Playing",9.5,
8882,pinball,Pinball,1983,"2600,VC,NES,Int","Action,Misc",,
418063,five-nights-at-freddys,Five Nights at Freddy's,,"And,PC","Adventure,Simulation",,
506411,jump-force,Jump Force,2018,"XOne,PS4,PC","Fighting",,
499463,getting-over-it-with-bennett-foddy,Getting Over It with Bennett Foddy,2010,"PC","Action",,
14805,metal-gear-solid,Metal Gear Solid,1998,"GB,PSN,PS,PC","Action",9.6,
506430,trials-rising,Trials Rising,2019,"NS,XOne,PC,PS4","Simulation",,
83418,tarot,Tarot,2009,"XBL","Misc",,
489201,titanfall-2,Titanfall 2,2016,"PC,XOne,PS4","Shooter",8.9,
509541,luigis-mansion-3,Luigi's Mansion 3,2019,"NS","Action-Adventure",,
